name,description,link,facebook,linkedin,instagram,youtube,website
Navigators,"PSU Navs is a large, close knit community that is committed to knowing Christ, making him known on our campus, and seeing the gospel of Jesus transform lives! We would love to meet you and have you be a part of our community!",https://orgcentral.psu.edu/organization/navigators,https://www.facebook.com/psunavigators,N/A,http://www.instagram.com/psunavigators,N/A,https://go.microsoft.com/fwlink
Nepalese Society,We seek to bring the wonderful members of our community together and share our culture with everyone at Penn State.,https://orgcentral.psu.edu/organization/nsps,https://www.facebook.com/profile.php,N/A,https://www.instagram.com/nsps448,N/A,https://go.microsoft.com/fwlink
Net Impact Undergraduate Chapter,"The mission of the Penn State Net Impact Undergraduate Chapter is to inspire, educate, and equip individuals to use the power of business to create a more socially and environmentally sustainable world.",https://orgcentral.psu.edu/organization/niug,N/A,https://www.linkedin.com/company/psu-undergraduate-net-impact-chapter,https://www.instagram.com/psunetimpact,N/A,https://go.microsoft.com/fwlink
NeuroLion Club,The mission of our organization to help undergraduate students gain exposure to the field of neuroscience. We will have guest speakers and explore current research and advancements in the neuroscience field in both industry and research. Come join us!,https://orgcentral.psu.edu/organization/neurolion,N/A,N/A,http://www.instagram.com/neurolion_psu,N/A,https://go.microsoft.com/fwlink
New Life Student Fellowship,"Raising up servant leaders who live out their faith in Jesus to serve the Penn State campus, community, and beyond.",https://orgcentral.psu.edu/organization/newlife,N/A,N/A,https://instagram.com/new_life_psu,https://www.youtube.com/channel/UCWSLcpYbrCjONxgZPgrLN1A,https://go.microsoft.com/fwlink
Newman Catholic Student Association,"Promotes, builds, and serves the developing University-Catholic community through religious, educational, and social activities, and encourages members to take an active role in the Church and secular society.",https://orgcentral.psu.edu/organization/newman,http://facebook.com/psunewman,N/A,http://instagram.com/psunewman,N/A,https://go.microsoft.com/fwlink
Next Generation Leadership Chapter,Next Gen aims to inspire Penn State undergraduate students from all majors to explore public service careers and equip the next generation of civic leaders with the skills they need to make an impact in their communities and beyond.,https://orgcentral.psu.edu/organization/nextgen,N/A,N/A,N/A,N/A,https://publicpolicy.psu.edu/academics
NextGen,NextGen America’s mission is to empower young voters to engage in the political process and ensure our government is responsive to the largest and most diverse generation in American history.,https://orgcentral.psu.edu/organization/nextgenpennstate,N/A,N/A,https://www.instagram.com/nextgen_psu,N/A,https://go.microsoft.com/fwlink
Nexus&nbsp;(Network for Excellence in Undergraduate Science),The Network for Excellence in Undergraduate Science serves to orient first year undergraduates to the Penn State University Park in the beginning of the fall and spring semesters. We hope to establish good connections with...,https://orgcentral.psu.edu/organization/nexus,N/A,N/A,https://www.instagram.com/nexus_psu,N/A,http://www.Sites.psu.edu/nexus
Nittany AI Student Society,"The Nittany AI Student Society seeks to engage and educate students on artificial intelligence and how it will affect their academic, professional, and entrepreneurial endeavors. We provide all opportunities for hands-on learning and experience building!",https://orgcentral.psu.edu/organization/naiss,N/A,https://www.linkedin.com/company/nittany-ai-student-society,https://instagram.com/naisspsu,N/A,https://go.microsoft.com/fwlink
Nittany Chemical Society,"We provide a community for all majors with an interest in chemistry by doing outreach, attending conferences, and socializing!",https://orgcentral.psu.edu/organization/nittanychemsoc,N/A,N/A,https://www.instagram.com/ncs_psu,N/A,https://go.microsoft.com/fwlink
Nittany Cloud Association,"Our club equips students with skills in cloud technologies through workshops, projects, and training. We focus on building foundational knowledge and exploring advanced tools, empowering members to design and manage innovative cloud-based solutions",https://orgcentral.psu.edu/organization/nittany-cloud-association,N/A,N/A,N/A,N/A,https://go.microsoft.com/fwlink
